exposure_name	uncalibrated_p_value
example_gene_1	0.938772277386571
example_gene_2	0.172603011887195
example_gene_3	0.991589419842166
example_gene_4	0.921624428364112
example_gene_5	0.706197694235898
example_gene_6	0.910669848796933
example_gene_7	0.727676614679637
example_gene_8	0.970520013246794
example_gene_9	0.967044017029655
example_gene_10	0.989055588522628
example_gene_11	0.918453830983846
example_gene_12	0.974276667714679
example_gene_13	0.985405041192491
example_gene_14	0.738583749759637
example_gene_15	0.846728448952775
example_gene_16	0.98705991877025
example_gene_17	0.978742713098917
example_gene_18	0.890515810371641
example_gene_19	0.989655094817127
example_gene_20	0.980893220651445
example_gene_21	0.926296731588256
example_gene_22	0.885411999791582
example_gene_23	0.973095920742142
example_gene_24	0.862941983804518
example_gene_25	0.65158010141036
example_gene_26	0.951834299018137
example_gene_27	0.979235992658348
example_gene_28	0.585470750899278
example_gene_29	0.564849095886208
example_gene_30	0.962327101175624
example_gene_31	0.960855923104645
example_gene_32	0.959985855748196
example_gene_33	0.812637368455467
example_gene_34	0.776054021592316
example_gene_35	0.514191663692963
example_gene_36	0.982962280925823
example_gene_37	0.996430812144026
example_gene_38	0.982106819006309
example_gene_39	0.981924848339506
example_gene_40	0.963381758681833
example_gene_41	0.823621473340009
example_gene_42	0.778906265603517
example_gene_43	0.793839276078995
example_gene_44	0.980154409636201
example_gene_45	0.871951675243935
example_gene_46	0.98970627299361
example_gene_47	0.838935296018366
example_gene_48	0.543024975721457
example_gene_49	0.904850640872641
example_gene_50	0.549027444269566
example_gene_51	0.986905963506784
example_gene_52	0.846713703406154
example_gene_53	0.695423877026255
example_gene_54	0.982029487495352
example_gene_55	0.995303722658037
example_gene_56	0.540974908332611
example_gene_57	0.941547852711124
example_gene_58	0.999241543978138
example_gene_59	0.99255475851921
example_gene_60	0.994015751358729
example_gene_61	0.594062564137227
example_gene_62	0.980775560093989
example_gene_63	0.820243108472948
example_gene_64	0.93328548077474
example_gene_65	0.940886249675936
example_gene_66	0.959327389491814
example_gene_67	0.85802802580701
example_gene_68	0.991464047604272
example_gene_69	0.861489539083335
example_gene_70	0.949890637919335
example_gene_71	0.925910443664159
example_gene_72	0.996860371817444
example_gene_73	0.954255072915701
example_gene_74	0.750172601124048
example_gene_75	0.970475712081824
example_gene_76	0.96719488768576
example_gene_77	0.968356386682807
example_gene_78	0.916056940854977
example_gene_79	0.940053464737317
example_gene_80	0.450373589142302
example_gene_81	0.789164093635753
example_gene_82	0.764424103746174
example_gene_83	0.954889701588314
example_gene_84	0.962137594069378
example_gene_85	0.942824208127954
example_gene_86	0.928659240322748
example_gene_87	0.954931808641215
example_gene_88	0.968096583453436
example_gene_89	0.971855370648443
example_gene_90	0.91947963962041
example_gene_91	0.937585053765754
example_gene_92	0.941457456184804
example_gene_93	0.687057637336834
example_gene_94	0.939564199296676
example_gene_95	0.98491947964614
example_gene_96	0.566598806922785
example_gene_97	0.977131332919729
example_gene_98	0.846244492843337
example_gene_99	0.984426673130952
example_gene_100	0.884144391159833
example_gene_101	0.939683151973131
example_gene_102	0.89781338570077
example_gene_103	0.938607533322224
example_gene_104	0.919638720544773
example_gene_105	0.962403786561786
example_gene_106	0.970827996817033
example_gene_107	0.968149893549957
example_gene_108	0.821177202769352
example_gene_109	0.923449312989227
example_gene_110	0.985754566839937
example_gene_111	0.35562646340412
example_gene_112	0.94222714319084
example_gene_113	0.919505177409377
example_gene_114	0.308725525109952
example_gene_115	0.55110884240184
example_gene_116	0.981636128828147
example_gene_117	0.986274838707584
example_gene_118	0.362346950346172
example_gene_119	0.922440074425213
example_gene_120	0.943183109604372
example_gene_121	0.559075167529054
example_gene_122	0.953834891168929
example_gene_123	0.795454872351295
example_gene_124	0.896589354492132
example_gene_125	0.949891131844055
example_gene_126	0.792395315693012
example_gene_127	0.736550800563289
example_gene_128	0.955485216874315
example_gene_129	0.771414363743637
example_gene_130	0.981817272403533
example_gene_131	0.523545086881649
example_gene_132	0.974285676623952
example_gene_133	0.965937440756007
example_gene_134	0.956923655265479
example_gene_135	0.934184438604319
example_gene_136	0.993611677489027
example_gene_137	0.853030049487738
example_gene_138	0.982033821647566
example_gene_139	0.965331974172742
example_gene_140	0.890610968421067
example_gene_141	0.940602398011872
example_gene_142	0.859653356796693
example_gene_143	0.956255232859364
example_gene_144	0.098412984279428
example_gene_145	0.936080780307464
example_gene_146	0.933980549175692
example_gene_147	0.804989663831234
example_gene_148	0.923146679416156
example_gene_149	0.939915422504244
example_gene_150	0.290776382760101
example_gene_151	0.870282995249907
example_gene_152	0.904507617665339
example_gene_153	0.836606744211674
example_gene_154	0.428700916242999
example_gene_155	0.95842549557013
example_gene_156	0.820731214833403
example_gene_157	0.945382884053946
example_gene_158	0.774551883157782
example_gene_159	0.972362060306082
example_gene_160	0.837420369309191
example_gene_161	0.908253526223046
example_gene_162	0.974906466671848
example_gene_163	0.941370120617965
example_gene_164	0.940933626349326
example_gene_165	0.985762889012048
example_gene_166	0.989929198032924
example_gene_167	0.793064473195689
example_gene_168	0.958353702213495
example_gene_169	0.999728549415068
example_gene_170	0.819753503331249
example_gene_171	0.905169188883854
example_gene_172	0.804360405628205
example_gene_173	0.796116156647481
example_gene_174	0.95205603351667
example_gene_175	0.9130884458186
example_gene_176	0.912479269693611
example_gene_177	0.972235408617726
example_gene_178	0.882725311411646
example_gene_179	0.930758581160509
example_gene_180	0.986025997503607
example_gene_181	0.933522289616069
example_gene_182	0.990877622020112
example_gene_183	0.66950488416079
example_gene_184	0.963811834442609
example_gene_185	0.977480916337966
example_gene_186	0.909482744537447
example_gene_187	0.975131884641685
example_gene_188	0.746178064146399
example_gene_189	0.958465478295806
example_gene_190	0.961191047408557
example_gene_191	0.992216225508666
