FID	IID	PHENO
outcome_fid_1	outcome_iid_1	-1.2295639198929074
outcome_fid_2	outcome_iid_2	-0.47419468349780514
outcome_fid_3	outcome_iid_3	-0.5088400234719136
outcome_fid_4	outcome_iid_4	0.409760561423027
outcome_fid_5	outcome_iid_5	1.1579956686839645
outcome_fid_6	outcome_iid_6	0.21737592504861936
outcome_fid_7	outcome_iid_7	2.393161464702085
outcome_fid_8	outcome_iid_8	0.47252112018324344
outcome_fid_9	outcome_iid_9	-0.369879300499312
outcome_fid_10	outcome_iid_10	-0.11401350526694243
outcome_fid_11	outcome_iid_11	-0.5604378139472653
outcome_fid_12	outcome_iid_12	1.0141839509030817
outcome_fid_13	outcome_iid_13	0.05537368354951064
outcome_fid_14	outcome_iid_14	-0.34120570895074703
outcome_fid_15	outcome_iid_15	1.175561074307642
outcome_fid_16	outcome_iid_16	0.8828807819199146
outcome_fid_17	outcome_iid_17	-2.0769429928362872
outcome_fid_18	outcome_iid_18	-2.007061821788349
outcome_fid_19	outcome_iid_19	0.916114185290597
outcome_fid_20	outcome_iid_20	-0.11835482146755126
outcome_fid_21	outcome_iid_21	-0.07564033495593293
outcome_fid_22	outcome_iid_22	-1.3762740792313595
outcome_fid_23	outcome_iid_23	0.8279243418981348
outcome_fid_24	outcome_iid_24	1.0700338392328819
outcome_fid_25	outcome_iid_25	0.8706570281702795
outcome_fid_26	outcome_iid_26	-0.3287538248997826
outcome_fid_27	outcome_iid_27	1.7663392945036256
outcome_fid_28	outcome_iid_28	0.12630488831503295
outcome_fid_29	outcome_iid_29	-0.4049148183726221
outcome_fid_30	outcome_iid_30	2.3475303619785164
outcome_fid_31	outcome_iid_31	1.1119055279347712
outcome_fid_32	outcome_iid_32	0.5167875979817997
outcome_fid_33	outcome_iid_33	-1.919537694077163
outcome_fid_34	outcome_iid_34	0.834260615650288
outcome_fid_35	outcome_iid_35	-0.21923406088940747
outcome_fid_36	outcome_iid_36	-0.05114008618198334
outcome_fid_37	outcome_iid_37	0.23954475006264367
outcome_fid_38	outcome_iid_38	-0.27734584399622453
outcome_fid_39	outcome_iid_39	-0.14398607335719832
outcome_fid_40	outcome_iid_40	-0.39965337482628677
outcome_fid_41	outcome_iid_41	1.383253696722325
outcome_fid_42	outcome_iid_42	1.0244639529006256
outcome_fid_43	outcome_iid_43	-0.11570382433166834
outcome_fid_44	outcome_iid_44	1.1667962871327866
outcome_fid_45	outcome_iid_45	0.4364510434782723
outcome_fid_46	outcome_iid_46	-1.2989829338539436
outcome_fid_47	outcome_iid_47	-1.5306447859258503
outcome_fid_48	outcome_iid_48	1.3008983779476095
outcome_fid_49	outcome_iid_49	-0.1183559505605567
outcome_fid_50	outcome_iid_50	-0.32987706486975
outcome_fid_51	outcome_iid_51	-0.10859888438998305
outcome_fid_52	outcome_iid_52	0.33862087511334277
outcome_fid_53	outcome_iid_53	0.24735054614555946
outcome_fid_54	outcome_iid_54	-0.6133249517047549
outcome_fid_55	outcome_iid_55	0.8040190420101097
outcome_fid_56	outcome_iid_56	1.417256505870266
outcome_fid_57	outcome_iid_57	-0.5833181410109322
outcome_fid_58	outcome_iid_58	-2.519003606445777
outcome_fid_59	outcome_iid_59	-0.25868970752718284
outcome_fid_60	outcome_iid_60	-0.7672420322260044
outcome_fid_61	outcome_iid_61	0.38245102587318164
outcome_fid_62	outcome_iid_62	0.27519951685832794
outcome_fid_63	outcome_iid_63	-0.4715187032632129
outcome_fid_64	outcome_iid_64	2.362923578855829
outcome_fid_65	outcome_iid_65	-0.4562755523566061
outcome_fid_66	outcome_iid_66	-0.10049291389225766
outcome_fid_67	outcome_iid_67	2.2305231638123626
outcome_fid_68	outcome_iid_68	0.3942507448202923
outcome_fid_69	outcome_iid_69	-1.2726510205682346
outcome_fid_70	outcome_iid_70	2.1098473332115515
outcome_fid_71	outcome_iid_71	-0.249283614828296
outcome_fid_72	outcome_iid_72	-2.515884717874214
outcome_fid_73	outcome_iid_73	0.045873591225573836
outcome_fid_74	outcome_iid_74	1.3415364859428425
outcome_fid_75	outcome_iid_75	0.38742081417887025
outcome_fid_76	outcome_iid_76	-1.892124941307364
outcome_fid_77	outcome_iid_77	-1.4231104215493464
outcome_fid_78	outcome_iid_78	0.31477393260550274
outcome_fid_79	outcome_iid_79	-0.7222498550882621
outcome_fid_80	outcome_iid_80	0.07646468640936496
outcome_fid_81	outcome_iid_81	-0.19580022172882847
outcome_fid_82	outcome_iid_82	0.1790169614938141
outcome_fid_83	outcome_iid_83	-0.5629916408044557
outcome_fid_84	outcome_iid_84	0.19635458039849857
outcome_fid_85	outcome_iid_85	-0.4564487451442904
outcome_fid_86	outcome_iid_86	-1.1226908800667836
outcome_fid_87	outcome_iid_87	1.9314371532588586
outcome_fid_88	outcome_iid_88	-0.1002277389469058
outcome_fid_89	outcome_iid_89	-0.03290361801717538
outcome_fid_90	outcome_iid_90	0.5939286679860324
outcome_fid_91	outcome_iid_91	-1.4468230859586408
outcome_fid_92	outcome_iid_92	-0.9254661050003357
outcome_fid_93	outcome_iid_93	-0.03902717721922311
outcome_fid_94	outcome_iid_94	1.065037166699321
outcome_fid_95	outcome_iid_95	-1.2864650415200132
outcome_fid_96	outcome_iid_96	0.33988414042544896
outcome_fid_97	outcome_iid_97	-0.7401466590562763
outcome_fid_98	outcome_iid_98	0.758963231435594
outcome_fid_99	outcome_iid_99	0.48538540992007034
outcome_fid_100	outcome_iid_100	0.9531522133181198
outcome_fid_101	outcome_iid_101	-0.92028415034458
outcome_fid_102	outcome_iid_102	-0.18478270486498685
outcome_fid_103	outcome_iid_103	1.0886778926154417
outcome_fid_104	outcome_iid_104	0.8685739188995572
outcome_fid_105	outcome_iid_105	-0.3770618219120649
outcome_fid_106	outcome_iid_106	-0.008715473055184624
outcome_fid_107	outcome_iid_107	-0.7391461958454163
outcome_fid_108	outcome_iid_108	-1.8415557005234802
outcome_fid_109	outcome_iid_109	0.31807419247781105
outcome_fid_110	outcome_iid_110	0.723031015240758
outcome_fid_111	outcome_iid_111	-1.5516054928851448
outcome_fid_112	outcome_iid_112	0.9495811864190455
outcome_fid_113	outcome_iid_113	-0.928727391962577
outcome_fid_114	outcome_iid_114	0.9284305171166062
outcome_fid_115	outcome_iid_115	0.8550322494670548
outcome_fid_116	outcome_iid_116	0.8325936968760324
outcome_fid_117	outcome_iid_117	-1.17528526556105
outcome_fid_118	outcome_iid_118	0.4136170779254264
outcome_fid_119	outcome_iid_119	0.4134331688963523
outcome_fid_120	outcome_iid_120	-0.1635375361724413
outcome_fid_121	outcome_iid_121	-0.8083903516241098
outcome_fid_122	outcome_iid_122	-1.435016632879941
outcome_fid_123	outcome_iid_123	-0.7373015746776128
outcome_fid_124	outcome_iid_124	2.3304943699608733
outcome_fid_125	outcome_iid_125	-1.9030539756753504
outcome_fid_126	outcome_iid_126	-0.11019008680047353
outcome_fid_127	outcome_iid_127	-1.8922252089218248
outcome_fid_128	outcome_iid_128	-0.09470959053249405
outcome_fid_129	outcome_iid_129	0.8651600690269136
outcome_fid_130	outcome_iid_130	0.10398232177416067
outcome_fid_131	outcome_iid_131	0.30019159343893637
outcome_fid_132	outcome_iid_132	-0.5058374370198108
outcome_fid_133	outcome_iid_133	-0.4255250180178749
outcome_fid_134	outcome_iid_134	-0.08759781185513237
outcome_fid_135	outcome_iid_135	0.6053461067297705
outcome_fid_136	outcome_iid_136	-0.19789387763467509
outcome_fid_137	outcome_iid_137	0.9828722115298567
outcome_fid_138	outcome_iid_138	0.8501494725212447
outcome_fid_139	outcome_iid_139	-0.9613833330337342
outcome_fid_140	outcome_iid_140	0.5906039402630026
outcome_fid_141	outcome_iid_141	-1.4681028773237408
outcome_fid_142	outcome_iid_142	-1.024506115415892
outcome_fid_143	outcome_iid_143	0.24977081879560736
outcome_fid_144	outcome_iid_144	-0.29875953534319966
