FID	IID	PHENO
outcome_fid_1	outcome_iid_1	-0.4005000235543215
outcome_fid_2	outcome_iid_2	2.175049757633898
outcome_fid_3	outcome_iid_3	0.4494194495527485
outcome_fid_4	outcome_iid_4	0.8454191378567703
outcome_fid_5	outcome_iid_5	0.3567411006559056
outcome_fid_6	outcome_iid_6	-1.4485429152237905
outcome_fid_7	outcome_iid_7	-1.7819862753815274
outcome_fid_8	outcome_iid_8	-0.9341688657231113
outcome_fid_9	outcome_iid_9	0.5264477473771013
outcome_fid_10	outcome_iid_10	-0.7399388894670972
outcome_fid_11	outcome_iid_11	-1.2693709639278077
outcome_fid_12	outcome_iid_12	0.5037573745879315
outcome_fid_13	outcome_iid_13	-0.03436286116887367
outcome_fid_14	outcome_iid_14	-1.3370257526519542
outcome_fid_15	outcome_iid_15	-0.40342735240768757
outcome_fid_16	outcome_iid_16	1.1524660671942764
outcome_fid_17	outcome_iid_17	-2.1989457088932918
outcome_fid_18	outcome_iid_18	-0.6030524212733795
outcome_fid_19	outcome_iid_19	-0.4159723653075218
outcome_fid_20	outcome_iid_20	0.37197394266409
outcome_fid_21	outcome_iid_21	0.3261724131180838
outcome_fid_22	outcome_iid_22	0.35831601084524417
outcome_fid_23	outcome_iid_23	-2.4473946775158026
outcome_fid_24	outcome_iid_24	0.7304828286345234
outcome_fid_25	outcome_iid_25	1.4846667140136875
outcome_fid_26	outcome_iid_26	-0.7418858396835643
outcome_fid_27	outcome_iid_27	-1.6464009842798826
outcome_fid_28	outcome_iid_28	0.2772125787547483
outcome_fid_29	outcome_iid_29	-0.13496883452397898
outcome_fid_30	outcome_iid_30	-0.06772823036462376
outcome_fid_31	outcome_iid_31	-0.3155562909803489
outcome_fid_32	outcome_iid_32	-0.8759390646257815
outcome_fid_33	outcome_iid_33	0.7488969047478027
outcome_fid_34	outcome_iid_34	-1.704522394944123
outcome_fid_35	outcome_iid_35	0.15475249123685356
outcome_fid_36	outcome_iid_36	0.2837424884129513
outcome_fid_37	outcome_iid_37	-0.9768202668145671
outcome_fid_38	outcome_iid_38	-0.5128767660630895
outcome_fid_39	outcome_iid_39	0.29131871733793424
outcome_fid_40	outcome_iid_40	1.0213829529831757
outcome_fid_41	outcome_iid_41	-1.1451933906669727
outcome_fid_42	outcome_iid_42	-0.5500879303974376
outcome_fid_43	outcome_iid_43	-0.7864682701309066
outcome_fid_44	outcome_iid_44	-0.42113957935962326
outcome_fid_45	outcome_iid_45	0.2345543709457522
outcome_fid_46	outcome_iid_46	2.168852642823113
outcome_fid_47	outcome_iid_47	1.3281863757738273
outcome_fid_48	outcome_iid_48	-0.3438981811802948
outcome_fid_49	outcome_iid_49	-0.028971943626206236
outcome_fid_50	outcome_iid_50	-0.8753053120160582
outcome_fid_51	outcome_iid_51	-0.05290230362250298
outcome_fid_52	outcome_iid_52	-0.5906332719855663
outcome_fid_53	outcome_iid_53	-0.3168968796457491
outcome_fid_54	outcome_iid_54	-0.7588580884147267
outcome_fid_55	outcome_iid_55	0.9724441429061353
outcome_fid_56	outcome_iid_56	-0.8387767187037505
outcome_fid_57	outcome_iid_57	0.808685792926414
outcome_fid_58	outcome_iid_58	1.1074386343856917
outcome_fid_59	outcome_iid_59	0.2032734450850965
outcome_fid_60	outcome_iid_60	0.04674291849253729
outcome_fid_61	outcome_iid_61	-0.18539893950852934
outcome_fid_62	outcome_iid_62	-0.43284601792275057
outcome_fid_63	outcome_iid_63	0.280705846385107
outcome_fid_64	outcome_iid_64	-0.552470416379632
outcome_fid_65	outcome_iid_65	-1.0864543529834554
outcome_fid_66	outcome_iid_66	-1.6861156096503882
outcome_fid_67	outcome_iid_67	0.17109510482152468
outcome_fid_68	outcome_iid_68	1.8703622655226957
outcome_fid_69	outcome_iid_69	0.7881947640441461
outcome_fid_70	outcome_iid_70	0.6137544463019643
outcome_fid_71	outcome_iid_71	-0.3680387793150771
outcome_fid_72	outcome_iid_72	-1.084891873876835
outcome_fid_73	outcome_iid_73	1.2455667346385981
outcome_fid_74	outcome_iid_74	0.9736174117347564
outcome_fid_75	outcome_iid_75	-0.0034326302540001945
outcome_fid_76	outcome_iid_76	-0.2993381129882989
outcome_fid_77	outcome_iid_77	1.2657677854871001
outcome_fid_78	outcome_iid_78	-0.1557270829739643
outcome_fid_79	outcome_iid_79	0.1235044127689116
outcome_fid_80	outcome_iid_80	-1.6699946885919954
outcome_fid_81	outcome_iid_81	1.1039911494588317
